Uuid,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Data class,Data type,_version:1,_order:1040
491d6883-3078-47b9-b8d0-872641bd9d27,WHO stage 1,Stade OMS 1,WHO stage 1,Stade OMS 1,Misc,N/A,,
c7684c11-e9a6-4686-8bea-ba1f4e643014,WHO stage 2,Stade OMS 2,WHO stage 2,Stade OMS 2,Misc,N/A,,
2ab28290-f5ef-4a99-8eac-741799d86c95,WHO stage 3,Stade OMS 3,WHO stage 3,Stade OMS 3,Misc,N/A,,
50e08063-fb83-46ab-b008-a8f1d38d6a98,WHO stage 4,Stade OMS 4,WHO stage 4,Stade OMS 4,Misc,N/A,,
