Uuid,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Data class,Data type,_order:1060
9d875aac-3f10-11e4-adec-0800271c1b75,Avant le repas,Avant le repas,Avant le repas,Avant le repas,Misc,N/A,
9d8843ed-3f10-11e4-adec-0800271c1b75,À jeun,À jeun,À jeun,À jeun,Misc,N/A,
9d88ea4d-3f10-11e4-adec-0800271c1b75,Après le repas,Après le repas,Après le repas,Après le repas,Misc,N/A,
9d89caea-3f10-11e4-adec-0800271c1b75,Le matin,Le matin,Le matin,Le matin,Misc,N/A,
9d8a7236-3f10-11e4-adec-0800271c1b75,En soirée,En soirée,En soirée,En soirée,Misc,N/A,
9d8dbcd7-3f10-11e4-adec-0800271c1b75,À l’heure du couché,À l’heure du couché,À l’heure du couché,À l’heure du couché,Misc,N/A,
9d8f3516-3f10-11e4-adec-0800271c1b75,Comme prescrit,Comme prescrit,Comme prescrit,Comme prescrit,Misc,N/A,
