Uuid,Members,Answers,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Data class,Data type,_order:1286
34257bff-a448-43b4-9abc-4018e8a943b7,,,Surdosage,Overdose,Surdosage,Overdose,Misc,Boolean,
a4809edc-8dc9-4cf5-b28b-19c3f7820ef5,,,Automutilation,Self-harm,Automutilation,Self-harm,Misc,Boolean,
9c889595-178a-4626-ac0e-b2740c65cd3f,,,Négligence de soi,Self-neglect,Négligence de soi,Self-neglect,Misc,Boolean,
3128bab4-05c7-49a7-ad9b-2fa3b1c9cc19,,f235047b-f75a-4b72-841b-19a106dc3e0b;34257bff-a448-43b4-9abc-4018e8a943b7;a4809edc-8dc9-4cf5-b28b-19c3f7820ef5;9c889595-178a-4626-ac0e-b2740c65cd3f,Risque pour soi,Risk to self,Risque pour soi,Risk to self ,Misc,Coded,
9e87f75d-19ba-41e8-a6a7-2f462456b684,,,Risques pour les professionnels de la santé,Risks to care professionals,Risques pour les professionnels de la santé,Risks to care professionals,Misc,Boolean,
888c10dd-51d8-4b2a-92f5-746da08741f8,,,Risques pour les tiers,Risks to third parties,Risques pour les tiers,Risks to third parties,Misc,Boolean,
966e6b0d-0edb-4bff-98b3-19eabe0aa74a,,9e87f75d-19ba-41e8-a6a7-2f462456b684;888c10dd-51d8-4b2a-92f5-746da08741f8,Risque pour les autres,Risk to others,Risque pour les autres,Risk to others,Misc,Coded,
0ac1c489-0b25-4848-8d76-801c77ca2717,3128bab4-05c7-49a7-ad9b-2fa3b1c9cc19;966e6b0d-0edb-4bff-98b3-19eabe0aa74a,,Alertes de sécurité,Safety alerts,Alertes de sécurité,Safety alerts,Misc,Coded,
cf1f4a0c-b602-481c-ba0f-df3b317beb8e,,,Qui a réalisé l'évaluation,Who carried out the assessment,Qui a réalisé l'évaluation,Who carried out the assessment,Misc,Text,
dae9042d-bf1c-4656-888c-9b292ebafb7d,,,Date à laquelle l'évaluation a été effectuée,Date assessment was carried out,Date à laquelle l'évaluation a été effectuée,Date assessment was carried out,Misc,Date,
dbebc94a-246f-42b2-bff8-07bb545ca4a2,,,Résultat de l'évaluation,The outcome of the assessment,Résultat de l'évaluation,The outcome of the assessment,Misc,Text,
3ea8c8fb-ff29-4e6f-8b99-471fa2b5e4a6,,,Décision prise,Decision made,Décision prise,Decision made,Misc,Text,
b0afd54e-7198-4eff-b80e-f954f32290c7,,,Consentement au traitement,Consent for treatment,Consentement au traitement,Consent for treatment,Misc,Boolean,
1a93988b-16a9-4efa-9695-58fef437af09,cf1f4a0c-b602-481c-ba0f-df3b317beb8e;dae9042d-bf1c-4656-888c-9b292ebafb7d;dbebc94a-246f-42b2-bff8-07bb545ca4a2;3ea8c8fb-ff29-4e6f-8b99-471fa2b5e4a6,,Évaluation de la capacité mentale,Mental capacity assessment,Évaluation de la capacité mentale,Mental capacity assessment,Misc,Coded,
d8214e71-3849-43ed-ad0b-3523a6dff1ff,,,Décisions avancées concernant le traitement ((remarque : (par exemple si mon cœur s'arrête je ne veux pas être réanimé) cela doit être documenté avec la documentation pertinente (généralement des copies) incluse dans le cadre de la recommandation),Advanced decisions about treatment(note :  (e.g. if my heart stops I do not want to be resuscitated) this should be documented, Décisions avancées concernant le traitement ((remarque : (par exemple si mon cœur s'arrête je ne veux pas être réanimé) cela doit être documenté avec la documentation pertinente (généralement des copies) incluse dans le cadre de la recommandation), Advanced decisions about treatment(note :  (e.g. if my heart stops I do not want to be resuscitated) this should be documented,Misc,Text,
38726d8e-8c02-4a07-b9fe-14b639c2f247,b0afd54e-7198-4eff-b80e-f954f32290c7;1a93988b-16a9-4efa-9695-58fef437af09;d8214e71-3849-43ed-ad0b-3523a6dff1ff,,Information légale,Legal information,Information légale,Legal information,Misc,Coded,
6c1c590d-fccf-4b28-aed5-04e9a0ec408c,,,Partenaire sexuel,Sexual partner,Partenaire sexuel,Sexual partner,Misc,N/A,
eb578576-c5c7-4bed-9e84-fa27882470ce,,,Enfant/parent biologique,Biological child/parent,Enfant/parent biologique,Biological child/parent,Misc,N/A,
7671806a-af64-4151-a3ac-39dab3795940,,,Femmes enceintes/allaitantes,Pregnant/Breastfeeding women,Femmes enceintes/allaitantes,Pregnant/Breastfeeding women,Misc,N/A,
6c6bc540-76c8-4e31-ba72-5a13f7bdc5a6,,,Enfants exposés au VIH,HIV Exposed Children,Enfants exposés au VIH,HIV Exposed Children,Misc,N/A,
5661bfa2-44e5-4feb-acfb-6e7cdae41b1d,,,Patient sous TAR,Patient on ART,Patient sous TAR,Patient on ART,Misc,N/A,
1806efcc-ca31-430a-8ac9-0bb01bbff2b5,,6c1c590d-fccf-4b28-aed5-04e9a0ec408c;eb578576-c5c7-4bed-9e84-fa27882470ce;7671806a-af64-4151-a3ac-39dab3795940;6c6bc540-76c8-4e31-ba72-5a13f7bdc5a6;5661bfa2-44e5-4feb-acfb-6e7cdae41b1d;2edaf35f-e1c9-4ca7-afcb-b64972116fa5;ef5d7595-87f6-4814-95e0-41533a517783,Catégorie de client,Category of client,Catégorie de client,Category of client ,Misc,Coded,
2a535e68-abe9-4e8f-9789-cd51c1a823fc,,,Organisme,Organization,Organisme,Organization,Misc,Text,
d176a4fd-6a69-46ae-8166-9fa41a34b109,,,Location,Location,Location,Location,Misc,Text,
8e77da9a-547a-4b36-89f3-9830061203ff,,,Au Cameroun,In Cameroon,Au Cameroun,In Cameroon,Misc,N/A,
47460f4a-3f98-446a-988a-4066e45cdaee,,,Hors du Cameroun,Outside Cameroon,Hors du Cameroun,Outside Cameroon,Misc,N/A,
39296a1c-bd96-404e-976a-5186da7c4690,,8e77da9a-547a-4b36-89f3-9830061203ff;47460f4a-3f98-446a-988a-4066e45cdaee,Pays de reference,Country referred,Pays de reference,Country referred,Misc,Coded,
49b27fa1-200e-4fed-afca-310adb17b7ad,,,Nom de la personne de contact dans l'organisation destinataire,Name of contact person in the receiving organization,Nom de la personne de contact dans l'organisation destinataire,Name of contact person in the receiving organization,Misc,Text,
dcc10fbf-da24-4399-8a6c-310be39715ca,,,APS,APS,APS,APS,Misc,N/A,
8a29b8dd-dcae-49c4-a4a2-ce5f18b1242b,,,Infirmier(e),Nurse,Infirmier(e),Nurse,Misc,N/A,
