uuid,Members,Answers,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Data class,Data type,_version:1,_order:1382
36445bb3-b536-4231-85b4-bbf1aee6fdd9,,,Diagnostic serologique,Serological diagnostic,Diagnostic serologique,Serological diagnostic,Misc,N/A,,
d85a0b18-7f20-4ce3-8f68-29fe0f36f496,,,Diagnostic radiologique ( scanner cerebral ),Radiologic diagnostic ( TDM),Diagnostic radiologique ( scanner cerebral ),Radiologic diagnostic ( TDM),Misc,N/A,,
885fa6cf-3ee2-466d-aa45-d36c79dfdec1,,Serological diagnostic;Radiologic diagnostic ( TDM),Type de diagnostic toxoplasmose cerebrale,Type of cerebral toxoplasmosis diagnosis,Type de diagnostic toxoplasmose cerebrale,Type of cerebral toxoplasmosis diagnosis,Misc,Coded,,
3a8e9c8b-f2f9-4bba-b7dd-a86b16f42eac,,Positive;Negative,Serologie toxoplasmosique (IgM/ IgG),Toxoplasmosis serology (IgM/ IgG),Serologie toxoplasmosique (IgM/ IgG),Toxoplasmosis serology (IgM/ IgG),Misc,Coded,,
de9032c4-f7b3-474e-9928-be8a4b2614b1,,Positive;Negative,Result of the cerebral scanner( TDM),Result of the cerebral scanner( TDM),Result of the cerebral scanner( TDM),Result of the cerebral scanner( TDM),Misc,Coded,,

4c4d2fe5-3930-4533-8fe1-61d69c9ab88c,Type of cerebral toxoplasmosis diagnosis;Toxoplasmosis serology (IgM/ IgG);Result of the cerebral scanner( TDM);Initiated;Date of Initiation;TB Treatment completed;End date of treatment,,Recherche de la toxoplasmose cerebrale,Search of cerebral toxoplasmosis,Recherche de la toxoplasmose cerebrale,Search of cerebral toxoplasmosis,Misc,N/A,,
c3368a16-b472-450f-bfe5-c774211db45e,,,Sarcome de Kaposi,Kaposi Sarcoma,Sarcome de Kaposi,Kaposi Sarcoma,Misc,N/A,,
d3c9142e-2e2d-4f28-b3bd-b9dbf2c3914d,,,Candidose Buccale,Oral Candidiasis,Phase intensive,Candidose Buccale,Misc,N/A,,
aabf0e4e-42d3-4235-ab56-83ddb90107cf,,,Infection Bactérienne Sévère,Severe Bacterial Infection,Infection Bactérienne Sévère,Severe Bacterial Infection,Misc,N/A,,
50ecb373-5f5e-47a5-a06f-0d796369718a,,,Malnutrition Misc,Malnutrition Misc,Malnutrition,Malnutrition,Misc,N/A,,
ae7df6a8-496b-4176-8281-15e464bd4d84,,,Pneumocystose,Pneumocystis,Pneumocystose,Pneumocystis,Misc,N/A,,
1981282e-18ec-4817-a393-f85d6f217fcb,,,Cancer du col,Cervical cancer,Cancer du col,Cervical cancer,Misc,N/A,,

1c73cda7-e087-4b2d-b066-2e71944a9168,,Kaposi Sarcoma;Oral Candidiasis;Severe Bacterial Infection;Malnutrition Misc;Pneumocystis;Cervical cancer;Other,Maladie suspectée,Suspected disease,Maladie suspectée,Suspected disease,Misc,Coded,,
d00d5f7d-5f9b-4369-bbb2-4015d5a950c6,,Yes full name;No full name,Confirmée par un test,Confirmed by a test,Confirmée par un test,Confirmed by a test,Misc,Coded,,
22e5f32e-e1fb-4a48-9a69-15c989cb923b,,,Date de test,Date of test,Date de test,Date of test,Misc,Date,,


1a6f1ec8-c610-4b04-8184-cff563077128,Suspected disease;Confirmed by a test;Date of test,,Autres Maladies AHD,Other diseases AHD,Autres Maladies,Other diseases,Misc,N/A,,


b7a1d593-ab83-41b8-907a-9811ac0d6c42,Socio demographics;AHD status information;NCD Signs and symptoms;TB screening and initiation on TB-drugs;Search of cryptococcus infection;Search of cerebral toxoplasmosis;Other diseases AHD,,NCD Form,NCD Form,NCD Form,NCD Form,Misc,N/A,,
